vCM1_n,vCM1_l,vCM1_p,vCM2_n,vCM2_l,vCM2_p,vCM3_n,vCM3_l,vCM3_p,vCM4_n,vCM4_l,vCM4_p
Foxp1,2.2766027,4.29117140799729e-32,Sik3,2.3125236,6.566503621057002e-19,Palld,1.4809757,1.8249827944503507e-16,Rplp2,4.7603407,7.516346535270665e-100
Ogt,2.0317647,4.903148201350858e-32,Nceh1,2.1154487,7.560559835788202e-19,Pdlim5,1.304291,6.270793684217624e-16,Cox5a,3.1278915,3.061935654011388e-99
Filip1l,1.8062942,5.234937752238773e-32,Hmcn1,2.4904118,1.6051168717321576e-18,Mapk4,2.8176906,1.592944081871948e-15,Rps17,5.02037,1.8171011354286217e-98
Clasp2,2.121293,6.176258847133491e-32,Filip1l,1.9502919,1.7153072029052096e-18,Ube2g1,2.2521002,1.6343080168515892e-15,Ndufa2,4.8141246,4.736087762803446e-97
Sox6,2.1911361,6.724316194510648e-32,Adam22,2.350657,2.1565125198369114e-18,Abcb4,2.779395,2.320188196819954e-15,Chchd2,4.3631086,5.371494376212483e-96
Birc6,2.0909104,8.303979277692961e-32,Slc16a10,2.3566413,5.479903295863553e-18,Ehd4,2.2978973,3.8680938252331015e-15,Hsp90ab1,3.9815948,4.7444774164621244e-95
Tnrc6c,2.066079,9.589860694104963e-32,Sbk1,2.2094872,7.547056578871912e-18,Ptbp2,2.2926729,4.3068145832784304e-15,Ndufa1,4.8181205,1.4672689414061153e-94
Gm20619,2.1091344,1.1673445102862269e-31,Luc7l2,1.882225,7.547056578871912e-18,Olfr1033,2.656845,4.531760278393536e-15,Rps14,4.17774,3.49400079651601e-92
Fndc3b,2.1121674,1.2043961014053986e-31,Fbxo32,2.2779734,7.713123486886244e-18,Arih1,2.1044707,4.827186728370328e-15,Ndufb8,4.072374,4.8732878245757116e-92
Celf2,1.9581528,1.5978295404542012e-31,Plin4,2.2421823,1.2094738499890511e-17,Dcaf6,2.213093,4.935251549105998e-15,Eif1,4.1859384,2.9573652235430724e-91
Dpf3,2.09623,2.016015186774841e-31,Gm35041,2.4521503,1.7475980329087386e-17,Gm12092,2.9951499,6.363145445775918e-15,Rps21,5.002691,1.557679493188634e-90
Dennd1a,2.1708422,2.2000784757263977e-31,Hs3st5,2.4090056,1.9952823151187914e-17,Camk2d,1.8060644,8.232959703904925e-15,Atp5md,3.8445132,2.8361913536221964e-90
Atxn1,2.00805,4.180647758567616e-31,Pdlim5,1.1940585,2.799177821292412e-17,Limch1,1.4945997,8.274524054030194e-15,Rps2,4.4078484,2.251767087891414e-88
Lrrfip2,1.9640235,4.472680509598919e-31,Acacb,2.1033049,2.835100017550817e-17,Tspan9,2.8336887,1.4508824777218277e-14,Rps15,4.6053777,6.502227181562236e-88
Zbtb20,1.2165228,6.728543983248102e-31,Ppfia1,2.130023,3.436017547797363e-17,Dusp16,2.4080703,2.4073517367288465e-14,Rpsa,4.6434913,2.462517457524349e-87
Psme4,1.6447209,7.488927675659619e-31,Rcan2,1.5960002,4.814431123061381e-17,Tet2,2.2547376,4.13756220012467e-14,Rpl35a,4.82255,1.630900396626469e-85
Gm24474,2.1313646,8.296368567510365e-31,Jph2,1.7812071,6.913434405511612e-17,Strn3,1.7488825,8.455869629987039e-14,Rps23,4.859118,6.011912195735424e-85
Akap13,2.1223836,9.500679629269682e-31,Art1,2.088349,7.519054922383725e-17,Kalrn,2.4203365,8.65155005065099e-14,Lpl,0.8326373,1.2915869487426584e-83
Fgf14,2.233904,1.0222524434417798e-30,Tnni3k,2.0865357,1.1799164256181048e-16,Nbeal1,2.2071936,1.2127157475959225e-13,Ndufb7,4.4114256,5.557232950859946e-83
Akap6,1.6962209,1.436411711560186e-30,Tmem245,2.058858,1.8221410447279909e-16,Ttn,0.24907158,1.3642060996068135e-13,Mdh1,1.4673995,1.1459104856761916e-82
Inpp4b,2.0041025,1.4970414489251047e-30,Ctnna3,1.5644132,1.8221410447279909e-16,Pam,1.7568412,1.3723194023488516e-13,Rps12,4.835153,1.486829370102536e-82
Rbpms,2.2127032,2.0158044452100014e-30,Tns1,1.802011,2.5320607057013516e-16,Itga5,2.6533484,1.3723194023488516e-13,Rpl24,4.4832563,1.7586634909759932e-81
Zfp521,2.0697346,2.144623262266766e-30,Pip5k1b,2.283109,3.3350274563071855e-16,Dleu2,2.245803,1.3999412458679317e-13,Cox7a2,3.4019928,7.97811255703047e-81
Ssh2,2.2110262,2.144623262266766e-30,Myzap,1.7689413,3.3607710658854543e-16,Usp47,2.1466699,1.6777577171010025e-13,Ndufs6,4.2094684,4.8115946442145795e-80
Msi2,1.8473657,2.2116341456160624e-30,Pnpla7,2.2070036,3.616929209774714e-16,Insr,1.8217185,1.7287063140573302e-13,Rpl36,4.3065944,1.486352345456099e-78
Slc27a1,2.023042,2.6877317290658518e-30,Tecrl,2.1510606,5.001202607177583e-16,Plpp1,2.341366,1.7371141281406222e-13,Rps3a1,4.139645,8.914261758904094e-78
Ryr2,1.1658725,4.789275970827011e-30,Samd4,2.0552137,5.01734447031695e-16,Utrn,1.919936,1.7371141281406222e-13,Rps25,4.504498,6.791591863919438e-76
