vCM1_n,vCM1_l,vCM1_p,vCM2_n,vCM2_l,vCM2_p,vCM3_n,vCM3_l,vCM3_p,vCM4_n,vCM4_l,vCM4_p
Tmtc1,1.1575047,3.2781550021618956e-07,Lrtm1,2.2414327,5.326758413771804e-15,Zbtb38,2.920369,1.0481726688382045e-13,Uqcr11,4.809197,1.1425992046635088e-31
Gm31251,0.54727715,3.505870178963036e-07,Tbc1d4,1.5308169,1.6615766310338165e-14,Lmod2,1.9244088,2.581751787075999e-13,Uqcrq,4.527972,1.2330810425812576e-31
Fgf14,1.1116265,3.8329129283211634e-07,Cnksr3,1.9033322,2.1680289554043962e-14,Lrrfip1,1.695417,6.984951384952846e-13,Cox6b1,4.383328,4.000173329597806e-31
Ctnna3,0.4243036,5.009393612294228e-07,Ablim1,1.1403983,3.50908561906652e-14,Sh3bgr,2.9905643,1.181174990955588e-12,Ndufc1,5.263064,6.162433954745068e-31
Nfib,0.27673241,5.078342849324891e-07,Gm26862,1.989807,3.9622334472773866e-14,Myl12a,3.301823,1.8984120045289667e-12,Chchd10,5.2072253,8.175436473980613e-31
Gramd1b,0.87919706,5.12735172888723e-07,Corin,1.3455592,6.349991871985013e-14,Resf1,2.7736022,1.930713031917289e-12,Ndufa1,5.1899652,4.958281955019358e-30
Pde4dip,0.31156388,8.261650944249901e-07,Gpcpd1,1.3111377,6.597257078879277e-14,Nt5c2,2.9912248,1.996326018641018e-12,Ndufa13,5.087908,6.769840037577085e-30
Nav2,0.66456187,1.2080250918574809e-06,Prkce,1.4616534,7.841183034575333e-14,Asph,1.5847527,9.369487451500895e-12,S100a1,4.3919864,6.985647805407501e-30
Ext1,0.70265806,1.4918561689455726e-06,Mylk4,2.0741518,1.0383356181500376e-13,Myot,3.6778595,1.2043612249366206e-11,Gpx4,4.467855,8.642073445822192e-30
Hdac9,0.91080445,2.1126869898579396e-06,Cacna1c,0.81739247,1.9052218242264267e-13,Lamc1,3.1797805,1.5239250297456695e-11,Ndufb8,4.5590076,1.9712657761389421e-29
Zfp521,0.90630174,2.4403330801206818e-06,Tacc2,1.1593758,1.5393337724722603e-12,Xirp1,3.3853412,3.896477265348677e-11,Ndufs6,4.960309,5.020140130726722e-29
Socs2,1.1299168,3.7809926642464586e-06,Tnfaip8,1.8235197,2.018310818487271e-12,Slmap,1.6364565,4.183485621604066e-11,Ndufa2,5.2699656,5.419890344683032e-29
Nrp1,1.0878261,4.018960065005926e-06,Kif16b,1.594969,2.8419617541912708e-12,Actc1,2.2963676,7.231239872378656e-11,Cox8b,4.60393,7.158316685874377e-29
Grb14,0.77294606,5.1698053027261275e-06,Dmxl2,1.7562022,2.8419617541912708e-12,Inpp5a,2.5739295,7.993742892625466e-11,Ndufb1-ps,4.506042,1.5813856255227048e-28
Kcnn2,0.563195,8.495088773873524e-06,Lpin1,1.8018256,4.71066684457324e-12,Slc38a2,2.1624115,9.814608118450404e-11,Cox7a2,4.538648,2.082277179939167e-28
Sorbs2,0.4387994,9.105485679262846e-06,Nceh1,1.6353027,5.8857005962643e-12,Grk5,2.5292218,1.41687924199276e-10,Uqcrh,3.9925327,9.350975747249796e-28
Cdh2,0.3260595,1.0199085621416983e-05,D830032e09rik,1.6589711,7.56218456658676e-12,Celf2,0.95279944,1.665244897071454e-10,Cycs,3.8846023,1.6501385401224646e-27
Mir99ahg,0.7179665,1.1728574744417993e-05,Foxo3,1.721846,1.044340136192987e-11,Rtn4,3.512556,1.9598582307419343e-10,Aldoa,4.1008835,1.8291301276791867e-27
Ltbp1,0.8474651,1.2694954785779072e-05,Lmo7,0.9106156,1.9968711187763872e-11,Phka1,2.5193899,4.0847784823822447e-10,Uqcrb,4.7717724,2.7899490042431467e-27
Shroom3,0.79266584,1.4134864437712653e-05,Arid1b,1.6852531,2.2974457474764927e-11,Itga5,2.9213974,6.184481147319847e-10,Uqcr10,4.1398873,3.318846930460352e-27
Psme4,0.40367514,1.6743694811724786e-05,Trim54,1.6491336,2.5738767231713907e-11,Rcan1,2.8527377,7.254700535046579e-10,Rps29,5.5667744,1.9582156494169356e-26
Hs3st5,0.7436449,1.879771121842239e-05,Rbm20,0.8832925,3.354843536813303e-11,1700025g04rik,3.053904,7.35118477890408e-10,Ndufb7,4.4586167,2.219540771070881e-26
Dmpk,0.3925271,1.9188142328441652e-05,Ppm1l,1.7210526,4.44049210633514e-11,Slco3a1,2.2366288,7.459875136273127e-10,Fth1,5.7618876,3.5558883726163626e-26
Atxn1,0.35561654,2.2209082102437676e-05,Appl2,1.6732429,5.429101380930102e-11,Flnc,2.856804,8.034869716432742e-10,Atp5j2,4.2573676,4.557646058509213e-26
Sobp,0.9072531,2.27335947852797e-05,Acss1,1.6112064,5.834450431448134e-11,Kpna4,2.6072912,9.802495126144386e-10,Atp5mpl,4.5176573,5.057390092375258e-26
Camk2d,0.6144997,2.27335947852797e-05,Acyp2,1.2358545,6.057697149563791e-11,Airn,1.6664062,1.0584932441258345e-09,Cryab,3.9173722,6.486521245165527e-26
Dsg2,0.7855265,2.424214161342203e-05,Ube2b,1.6180589,1.2014207521211638e-10,Otulin,2.8198893,1.5261610954713712e-09,Hspb7,3.083744,8.634021607626404e-26
Pde4b,0.4785975,2.5382385457249142e-05,Immp2l,1.3813533,1.8689273717658878e-10,Pam,1.8998777,1.5534056221313926e-09,Atp5md,4.4514766,1.532295202676574e-25
Plxdc2,1.3697451,2.611813717751599e-05,Rilpl1,1.5657285,1.871238116356164e-10,Hspb7,2.557166,6.25465219310675e-09,Cox5a,3.6883085,3.947456826296474e-25
Ldlrad4,1.0724084,3.460182235065292e-05,Zfp407,1.6828094,2.2761286399809793e-10,Zbtb16,1.4809606,6.6449018966689075e-09,Ndufb11,4.647917,6.6837389716665755e-25
Kcng2,0.49578083,3.683175688132787e-05,Dock4,1.8456002,2.5271813243670537e-10,Lrrcc1,3.4331791,7.259695654560712e-09,Ndufa5,4.272828,6.890810447041738e-25
Hnrnpl,0.5717765,3.8996162130963674e-05,Tango2,1.5662975,2.587619189284391e-10,Tnfrsf12a,3.5619195,8.5496169307069e-09,Chchd2,4.438494,1.5586396841991608e-24
Mast2,0.4529761,3.8996162130963674e-05,Ogdhl,1.8761749,2.587619189284391e-10,Fhl1,2.8175457,8.94100890234e-09,Ndufb9,4.4201155,1.9957480380638156e-24
Pdzrn4,1.2523297,3.9641216931252017e-05,Ppfibp2,1.7168928,2.9373535576282074e-10,Hecw2,2.5330868,9.421835237268386e-09,Ndufa6,3.796719,3.6725692657782815e-24
Trabd2b,0.58181286,6.601643866518497e-05,St3gal3,1.6750581,4.1996929462711506e-10,Tox3,3.4500945,1.0485128846334849e-08,Atp5g1,4.184828,4.3830139592087725e-24
Rnf150,0.9753697,7.044177285413973e-05,Chpt1,1.5380572,4.453516358651597e-10,Asap2,3.0532815,1.1850152395596756e-08,Ckm,3.4706364,1.0682468225748043e-23
Rora,0.56245106,8.91462130065533e-05,Phyhd1,1.762885,5.903330185881472e-10,Ube2g1,1.9339353,1.2081509421955289e-08,Atp5j,4.2780795,1.3658983601780045e-23
Lrrfip2,0.35509002,0.00010188688274258741,Tfdp2,1.5207152,6.105198537002136e-10,Mypn,1.7019954,1.2657520526393155e-08,Ndufs2,3.3807364,2.067514158846892e-23
Lrrc3b,1.0015011,0.00011789028946677016,Ugp2,1.6788508,6.105198537002136e-10,Thsd7a,3.613594,1.4318611391338153e-08,Atp5h,3.7743533,3.6007731759161675e-23
