vCM1_n,vCM1_l,vCM1_p,vCM2_n,vCM2_l,vCM2_p,vCM3_n,vCM3_l,vCM3_p,vCM4_n,vCM4_l,vCM4_p
Mast2,1.1958941,1.7032142460260357e-76,Lmo7,1.1296955,1.8145518965076004e-63,Ccn1,3.1841943,3.708269745331833e-73,Cox7a1,5.1872888,2.6755812165989697e-268
Rgs6,1.8154397,9.835074393693971e-76,Gm17428,2.2752647,4.87227183563052e-63,Lpp,2.157227,6.254567307793799e-72,Atp5e,5.2089777,1.5106575296018692e-267
Gm30382,1.851165,8.951860062170568e-75,Fhod3,1.3330449,1.0891479484593453e-62,Col4a1,3.280872,1.267999462153549e-71,Atp5k,5.174079,4.6664072605027565e-267
9530026p05rik,1.6157434,3.3257656661509727e-74,Prkce,1.9355147,3.44924658602039e-62,Col4a5,2.2716858,5.5938474333771086e-71,Actc1,3.178375,3.2123625813225664e-265
Slc8a1,0.90327305,5.591706749496132e-74,Smtn,2.1175964,8.433127601764041e-62,Celf2,1.4014559,1.6373795052494467e-70,Ckm,4.304319,1.0503690119978351e-258
Rbfox1,1.5887715,6.6637457475540335e-74,Rmdn1,1.8962137,6.747534416294046e-61,Pdlim5,1.3805001,1.1992219204749598e-69,Atp5h,4.481399,7.172924584656435e-254
Ehbp1,1.2418745,9.34403664989184e-73,Adra1a,2.2342908,1.0403661068355201e-60,Adamtsl5,2.4612813,1.2453017207932588e-66,Cryab,4.081163,6.944743702839895e-241
Fgf14,1.8023543,1.412064973629674e-72,Slc4a4,1.9968473,1.1992922868377569e-60,Ehd4,2.3571582,2.1244527076901226e-65,Atp5o,4.67218,1.6977596218752772e-237
Hs3st5,1.6858426,2.225615040502115e-72,Pik3r1,1.9592391,2.116360974567048e-60,Pakap,2.5461547,1.2299559105927083e-63,Rpl41,5.057836,6.9839359762043705e-236
Magi3,1.5083878,9.472875447102675e-71,Ryr2,0.77041024,5.766676291609751e-59,Efna5,2.3358405,1.3835137102503629e-63,Cox8b,4.697001,3.0663115068873076e-234
Nfia,1.01418,3.51527398473721e-70,Optn,2.2574408,3.0363960323960848e-58,Gm12295,2.4424644,1.117539479863999e-62,Atp5j2,4.5309353,1.035012254351795e-233
Filip1l,1.1991318,6.145378603593104e-70,Ank,1.9006901,3.020663215866473e-56,Synpo2l,3.1255696,2.1739275403336927e-62,Ndufb9,4.6461463,1.9276691224226997e-233
Fign,1.6242294,2.0369771953971264e-69,Asb14,2.21659,1.1280005640110789e-54,Gm26917,1.8833292,1.3870858663919276e-59,Lars2,4.0075107,3.413121546915553e-232
Ppp1r14c,1.5499707,2.0299214835690926e-68,Ppip5k2,1.740919,1.735250455728515e-54,Xirp1,2.866662,2.1421961196466567e-56,Rps24,4.8899636,3.2019132349150355e-224
Gm24474,1.7946124,6.5204051626340844e-68,Nceh1,1.9082105,1.071365589538083e-53,Rock2,2.0278428,3.8052027762073665e-56,Aldoa,4.144824,3.0793588664687304e-222
Gm31251,1.5571768,7.305635289684592e-66,Kcnip2,2.192073,3.979699465956576e-53,Utrn,2.204469,7.976776081696115e-56,Atp5g1,4.394975,6.24547101277709e-220
Nebl,1.2033203,1.174599585747076e-62,Luc7l2,1.4369498,1.9290735195888514e-52,March3,2.3852315,7.530399408822446e-55,Atp5l,3.610983,2.6200476991952645e-218
Rora,1.296866,3.7099906453785045e-62,Prkn,1.5470864,5.873666185368164e-52,Gm47283,2.2903798,9.864374787977456e-55,Tnnc1,2.9914641,7.846915686029194e-217
Cdh2,0.80469376,4.373196382516728e-62,Acacb,1.6655877,6.489973927290071e-52,Nppa,3.264219,1.5430610295185015e-54,Rplp2,4.846933,4.797154675646723e-213
Pbx1,1.0834494,1.6564314298532677e-61,Art1,1.9197718,3.1485622921923305e-51,Rapgef1,2.227384,1.1172457037896207e-53,Uqcrh,3.9020789,9.773172312218494e-213
Nckap5,1.4373361,8.064217368308869e-60,Ntn1,2.0442884,1.0421106907962742e-50,Ankrd23,2.6492133,4.867483187794325e-53,Gapdh,4.59083,9.642375046517482e-211
Esrrg,1.316031,2.001997309046304e-59,Acyp2,1.5342873,1.3385474023118044e-50,Dysf,2.195264,2.716928338726921e-52,Rpsa,4.8420267,7.50746620455958e-210
Psme4,0.8954856,4.393467808564411e-59,Slc27a1,1.9107932,1.3877287451327946e-50,Des,2.2608788,1.361487910259171e-51,Rpl23,4.9288034,3.6033053217469317e-209
Tbc1d4,1.2124772,9.199927500011138e-59,Tbc1d4,1.7493826,1.844178941226116e-50,Myo9b,2.3771605,2.1584111206481298e-51,Rpl13,4.7945685,7.84307605521008e-208
Kcnd2,1.4664912,1.2834156896037377e-57,Magi2,1.4357735,1.8995577335545492e-50,Myo18b,1.7853464,2.1584111206481298e-51,Chchd2,4.4550676,1.9067493389441562e-206
Grb14,1.361121,1.3607802409190242e-57,Sik3,1.9057294,2.6154940482840292e-49,Myom1,0.7824904,2.2980050511744753e-51,Mt-atp8,5.3191743,6.101669938237876e-206
Thrb,1.1857661,2.4130705253874247e-57,Erbb4,1.6928757,7.559235804916712e-49,Azin1,2.459896,1.3017529559735488e-50,Rps8,4.818462,5.555480306610587e-204
Ppp1r12b,1.0000609,3.3715007123639535e-57,Gm17276,2.0435565,2.743825925904091e-48,Actn4,2.5330591,8.662235682954077e-50,Cox6b1,4.1009483,2.094193300993203e-202
Lmo7,0.8193407,1.7806276350640804e-54,Ube2b,1.8437077,5.0329933109316325e-48,Itgb1,2.346813,1.6903917131664528e-49,Hsp90ab1,4.2924685,7.908814246953593e-201
Akap6,0.9231258,2.2368744249720454e-53,Immp2l,1.7249382,1.1278368545489158e-47,Serpine1,2.852927,1.728252129572757e-49,Cox5a,3.7861366,2.2988543356524482e-200
Sgcd,0.91523755,1.3399616041783264e-52,Rilpl1,1.8153664,1.195666576098451e-47,Otulin,2.4658933,4.941745997873449e-49,Ndufa2,4.667024,4.942437252306573e-196
Prkn,1.1205769,6.77710709370644e-52,Cnksr3,1.9357353,1.6181258985467924e-47,Tspan9,2.9652786,5.547078758832668e-49,Cox5b,4.470131,5.703820200537963e-196
Cpeb3,1.3172876,2.719443932088837e-51,Ptprm,1.655759,3.0666862621506326e-47,Peak1,2.262902,9.134973058587e-48,Rps15,4.732928,2.5696960690917044e-195
Acyp2,1.0673262,3.2974185655101863e-51,Sbk1,1.9437087,5.793645666611732e-47,Cd44,2.9269106,9.897325655468985e-47,Hbb-bs,4.792037,2.884961956736574e-194
Limch1,0.9391366,4.91469357380915e-50,Rbm24,1.677126,6.028896808527358e-46,Grk5,2.2114182,1.0459336659116289e-46,Ndufa13,4.6143975,1.8261374917502516e-193
Inpp4b,1.093788,7.246611774727498e-50,Rbfox1,1.9826598,1.166370299495514e-45,Arhgef12,1.7117788,2.178683611745796e-46,Rps21,4.867409,4.818677380453397e-187
Trdn,0.45803165,2.704561484362858e-47,Foxo3,1.8881897,1.1255248203831045e-44,Rcan1,2.400001,1.447274553634437e-45,Rps12,4.8131847,9.9766571089901e-186
Gramd1b,1.3410265,7.487236263832486e-47,Lgals4,1.9513485,3.2293636385049463e-44,Gm13481,2.2705417,5.369623487984561e-45,Ndufa5,3.9090197,6.254862048165901e-180
Ppp2r3a,1.0324067,7.69137138777121e-47,Synpo2,1.8871623,1.392328731670548e-43,Pfkp,2.6367295,1.1920138340514144e-44,Rps14,4.242053,3.891008116525832e-179
Rcan2,0.8927525,1.613015965983488e-44,Map3k5,1.8503187,3.226004552950134e-43,Resf1,2.1297638,5.255261433091309e-43,Ndufc1,4.5080957,1.1241499938015755e-178
Ralgapa2,1.0572069,3.087329628139619e-44,Agtpbp1,1.7865986,3.978868104942957e-43,Tgfb2,3.360887,8.633273366953598e-43,Eif1,4.2262955,2.550955301272306e-178
Phactr2,1.1117514,7.81554220399481e-44,Thrb,1.685905,4.298844681944946e-43,Usp28,1.887749,1.2674593188227413e-42,Rps2,4.4459357,2.7156562687484874e-178
Myocd,1.0161403,9.974015183573582e-44,Lpin1,1.8833557,7.529897610099578e-43,Hspg2,2.3501422,1.8756345758714915e-42,Cmss1,2.9238758,2.7831566042140633e-178
Txlnb,0.9121447,9.974015183573582e-44,Slc16a10,1.8598007,1.3154099893370467e-42,Iqgap1,2.1334367,2.0722603211454295e-42,Hspb7,3.238423,2.7858638315921206e-178
Mir99ahg,0.98002607,2.9287063597844664e-43,Foxn3,1.7180016,2.0074178319456618e-42,Tox3,2.8199615,1.1414721497741603e-40,Chchd10,4.4828057,8.979865770684454e-177
Mitf,0.933927,5.038219167264127e-43,Kbtbd12,1.7522424,5.6824393570147924e-42,Camk2d,1.3583782,2.2423908181159537e-39,Rpl35a,4.6682262,2.5218251301959702e-176
Gab1,1.1597401,2.805855599588437e-42,Hs3st5,2.008392,1.3563567798740658e-41,Ptbp2,1.9191576,4.026381960847534e-39,Atp5j,3.7823367,7.153647594037976e-173
Synpo2,1.1979406,4.3382326305436885e-42,Ank2,1.4498711,6.5153279865168e-41,Map4,1.5377778,7.693926216675307e-39,Ndufb8,4.0601063,3.2069987451354446e-171
